"language","measure","form","age","please
(please)","hi
(hi)","bye
(bye)","thank you
(thank you)","mommy*
(mommy)","milk
(milk)"
"English (American)","produces","WS",16,0.269874476987448,0.650627615062761,0.72489539748954,0.373430962343096,0.932008368200837,0.342050209205021
"English (American)","produces","WS",17,0.358974358974359,0.538461538461538,0.750915750915751,0.443223443223443,0.934065934065934,0.428571428571429
"English (American)","produces","WS",18,0.493212669683258,0.714932126696833,0.877828054298643,0.563348416289593,0.96606334841629,0.565610859728507
"English (American)","produces","WS",19,0.564024390243902,0.716463414634146,0.875,0.61890243902439,0.966463414634146,0.722560975609756
"English (American)","produces","WS",20,0.675182481751825,0.759124087591241,0.908759124087591,0.656934306569343,0.963503649635037,0.667883211678832
"English (American)","produces","WS",21,0.738916256157635,0.74384236453202,0.9064039408867,0.719211822660099,0.970443349753695,0.724137931034483
"English (American)","produces","WS",22,0.765,0.77,0.915,0.785,0.965,0.79
"English (American)","produces","WS",23,0.847328244274809,0.83587786259542,0.935114503816794,0.83587786259542,0.988549618320611,0.877862595419847
"English (American)","produces","WS",24,0.871355060034305,0.893653516295026,0.95368782161235,0.862778730703259,0.984562607204117,0.862778730703259
"English (American)","produces","WS",25,0.858858858858859,0.924924924924925,0.960960960960961,0.882882882882883,0.96996996996997,0.876876876876877
"English (American)","produces","WS",26,0.933701657458563,0.933701657458563,0.966850828729282,0.911602209944751,0.994475138121547,0.92817679558011
"English (American)","produces","WS",27,0.938461538461538,0.928205128205128,0.933333333333333,0.938461538461538,0.979487179487179,0.933333333333333
"English (American)","produces","WS",28,0.96551724137931,0.937931034482759,0.958620689655172,0.958620689655172,0.979310344827586,0.958620689655172
"English (American)","produces","WS",29,0.959390862944162,0.928934010152284,0.974619289340102,0.979695431472081,0.979695431472081,0.964467005076142
"English (American)","produces","WS",30,0.983050847457627,0.952542372881356,0.983050847457627,0.979661016949153,0.993220338983051,0.972881355932203
