170321,2,0,R,L,mean,nice,1,1,3/21/2017,14:09
170321,2,1,R,L,polite,comp,1,0,3/21/2017,14:09
170321,2,2,R,R,rude,play,0,1,3/21/2017,14:09
170321,2,3,R,L,mean,play,1,1,3/21/2017,14:09
170321,2,4,L,L,nice,play,0,0,3/21/2017,14:09
170321,2,5,R,L,rude,undefined,1,1,3/21/2017,14:09
170321,2,6,R,R,polite,comp,0,0,3/21/2017,14:09
170321,2,7,L,R,rude,comp,0,0,3/21/2017,14:09
170321,2,8,R,R,nice,play,1,1,3/21/2017,14:09
170321,2,9,L,L,mean,comp,0,1,3/21/2017,14:09
170321,2,10,L,R,nice,comp,1,0,3/21/2017,14:09
170321,2,11,L,R,mean,play,1,1,3/21/2017,14:09
170321,2,12,L,R,polite,comp,0,1,3/21/2017,14:09
