170406_06,1,0,L,R,mean,nice,1,1,4/6/2017,13:16
170406_06,1,1,R,R,polite,play,0,0,4/6/2017,13:16
170406_06,1,2,L,L,nice,comp,1,1,4/6/2017,13:16
170406_06,1,3,L,R,mean,play,1,1,4/6/2017,13:16
170406_06,1,4,L,L,nice,comp,0,0,4/6/2017,13:16
170406_06,1,5,L,R,mean,comp,0,0,4/6/2017,13:16
170406_06,1,6,R,R,polite,play,1,1,4/6/2017,13:16
170406_06,1,7,L,L,nice,play,0,0,4/6/2017,13:16
170406_06,1,8,R,L,mean,play,1,1,4/6/2017,13:16
170406_06,1,9,R,L,rude,comp,0,0,4/6/2017,13:16
170406_06,1,10,R,L,polite,comp,0,1,4/6/2017,13:16
170406_06,1,11,R,L,rude,play,1,1,4/6/2017,13:16
170406_06,1,12,L,R,rude,comp,1,1,4/6/2017,13:16
